151743973:06:05:29:50 -112.15595 694.78595 50.14359
151743973:06:05:29:50 -112.15595 694.78595 50.14359
151743973:06:05:46:54 -111.64801 1765.30096 50.31793
151743973:06:06:03:58 -111.13241 1990.93014 50.71190
151743973:06:06:21:07 -110.24864 3114.80180 50.82830
151743973:06:06:38:11 -109.96556 3354.20231 51.23815
151743973:06:06:55:15 -107.41778 3438.21174 51.28196
151743973:06:07:12:23 -104.75765 3984.88296 51.39750
151743973:06:07:29:31 -101.49395 4181.74341 64.63686*
151743973:06:07:46:39 -101.24813 4274.15190 64.63686*
151743973:06:08:03:43 -99.43021 4707.02311 51.80027
151743973:06:08:20:47 -98.25253 5060.35978 51.88341
151743973:06:08:37:51 -93.52630 5189.53683 64.63686*
151743973:06:08:54:55 -93.36643 6267.08919 64.63686*
151743973:06:09:11:59 -92.99585 6500.41472 53.30475
151743973:06:09:29:07 -90.32407 6628.87368 53.40430
151743973:06:09:46:11 -90.27194 6906.91550 53.59414
151743973:06:10:03:15 -89.10333 7167.38464 53.75891
151743973:06:10:20:19 -87.65629 7207.63085 54.05207
151743973:06:10:37:23 -87.51116 7387.70669 54.38494
151743973:06:10:54:27 -86.50632 7874.76238 54.47853
151743973:06:11:11:35 -86.42935 8279.34251 54.92864
151743973:06:11:28:39 -85.41023 8308.76395 54.98360
151743973:06:11:45:47 -85.17425 8995.62857 55.72283
151743973:07:12:02:51 -85.12897 9195.42179 55.95592
151743973:07:12:19:55 -84.48895 9278.88864 56.20029
151743973:07:12:36:59 -82.43373 9835.87828 56.46316
151743973:07:12:54:07 -80.27399 9996.33133 56.67214
151743973:07:01:11:11 -80.22134 10007.53013 57.17712
151743973:07:01:28:15 -78.36369 10667.75698 57.58927
151743973:07:01:45:23 -76.72916 10821.93678 57.77977
151743973:07:02:02:27 -76.36618 11301.17228 57.87549
151743973:07:02:19:31 -74.98421 11351.34833 58.67585
151743973:07:02:36:35 -73.74027 11505.71173 64.63686*
151743973:07:02:53:39 -69.44933 11565.71138 64.63686*
151743973:07:03:10:43 -69.34211 11856.98174 58.92404
151743973:07:03:27:47 -69.30180 12061.27236 59.18026
151743973:07:03:44:55 -68.53807 12859.90266 64.63686*
151743973:07:04:01:59 -68.37802 12924.90629 64.63686*
151743973:07:04:19:03 -68.29705 13552.22915 59.81382
151743973:07:04:36:07 -67.62879 13987.37002 59.88974
151743973:07:04:53:11 -64.06883 14150.41261 64.63686*
151743973:07:05:10:20 -63.89394 14657.77372 64.63686*
151743973:07:05:27:24 -63.73206 14819.43903 61.35223
151743973:07:05:44:28 -60.44342 15252.15967 61.37472
151743973:07:06:01:32 -60.02930 15634.07867 61.65362
151743973:07:06:18:36 -53.46817 15658.66351 62.20168
151743973:07:06:35:40 -53.30668 16018.23727 64.63686*
151743973:07:06:52:44 -52.67792 16409.19184 64.63686*
151743973:07:07:09:48 -51.87022 16660.87038 64.63686*
151743973:07:07:26:52 -51.47451 16747.71149 63.62487
151743973:07:07:43:56 -50.32768 16924.96462 64.36525
151743973:07:08:01:00 -48.54621 17062.95115 64.40056
151743973:07:08:18:08 -46.90773 17098.39140 64.40401
151743973:07:08:35:16 -46.79571 18538.27107 64.63686*
151743973:07:08:52:20 -45.05541 18629.15180 64.63686*
151743973:07:09:09:28 -43.08362 19350.86386 66.13575
151743973:07:09:26:32 -42.34696 19386.38931 66.69061
151743973:07:09:43:36 -40.03505 19424.76825 66.86700
151743973:07:10:00:44 -39.29211 20206.02294 67.87370
151743973:07:10:17:48 -37.30930 20352.67769 68.33342
151743973:07:10:34:52 -34.45076 20370.44680 68.74116
151743973:07:10:51:56 -34.15456 20405.57031 69.48882
151743973:07:11:09:00 -30.51542 20573.17673 69.66595
151743973:07:11:26:04 -29.58453 20582.02301 69.73458
151743973:07:11:43:12 -28.25729 20605.55207 70.35280
151743973:07:12:00:16 -27.98389 21547.22450 70.88406
151743973:07:12:17:20 -27.28050 21820.21543 71.13435
151743973:07:12:34:24 -27.05186 22123.49580 64.63686*
